iter	Passed	Remaining
0	7	7077
1	13	6878
2	23	7650
3	30	7485
4	36	7273
5	40	6751
6	50	7200
7	57	7108
8	64	7145
9	70	6932
10	76	6869
11	85	7078
12	91	6915
13	99	6993
14	103	6827
15	108	6670
16	115	6698
17	120	6580
18	129	6700
19	135	6628
20	139	6520
21	148	6590
22	153	6521
23	161	6581
24	170	6633
25	177	6640
26	183	6612
27	188	6528
28	194	6499
29	198	6425
30	202	6334
31	210	6372
32	217	6365
33	227	6468
34	236	6513
35	245	6566
36	252	6563
37	263	6681
38	270	6656
39	276	6627
40	284	6647
41	297	6782
42	304	6770
43	310	6756
44	315	6690
45	318	6603
46	321	6525
47	327	6501
48	331	6433
49	334	6358
50	337	6281
51	343	6266
52	347	6209
53	351	6149
54	356	6126
55	359	6065
56	364	6025
57	367	5970
58	370	5912
59	375	5890
60	379	5840
61	383	5799
62	386	5749
63	390	5716
64	394	5672
65	397	5630
66	401	5587
67	406	5568
68	410	5537
69	414	5501
70	417	5459
71	422	5439
72	425	5399
73	428	5364
74	432	5328
75	435	5293
76	440	5281
77	444	5250
78	447	5215
79	451	5189
80	458	5200
81	462	5183
82	466	5151
83	471	5137
84	475	5114
85	478	5083
86	481	5056
87	487	5049
88	490	5020
89	493	4991
90	497	4964
91	500	4937
92	504	4924
93	509	4911
94	513	4890
95	516	4861
96	521	4855
97	525	4834
98	528	4808
99	531	4784
100	538	4795
101	542	4775
102	545	4751
103	549	4733
104	553	4714
105	556	4690
106	559	4671
107	563	4653
108	568	4644
109	571	4626
110	575	4607
111	579	4591
112	584	4585
113	587	4566
114	590	4543
115	593	4522
116	595	4495
117	599	4481
118	603	4467
119	606	4449
120	609	4430
121	613	4412
122	617	4403
123	620	4383
124	623	4364
125	626	4348
126	630	4331
127	636	4336
128	639	4319
129	642	4302
130	645	4283
131	649	4273
132	653	4261
133	657	4246
134	660	4229
135	663	4214
136	667	4205
137	670	4188
138	673	4172
139	676	4157
140	680	4145
141	684	4133
142	686	4116
143	690	4102
144	692	4085
145	696	4075
146	700	4064
147	703	4051
148	707	4038
149	710	4025
150	715	4021
151	718	4006
152	720	3991
153	724	3979
154	727	3967
155	732	3961
156	735	3951
157	740	3943
158	746	3946
159	749	3935
160	752	3922
161	755	3906
162	758	3892
163	762	3888
164	765	3873
165	768	3860
166	771	3847
167	774	3834
168	777	3824
169	780	3812
170	783	3800
171	786	3786
172	789	3774
173	793	3765
174	796	3755
175	799	3741
176	801	3727
177	804	3714
178	807	3701
179	810	3693
180	813	3680
181	815	3667
182	819	3656
183	822	3647
184	826	3640
185	829	3628
186	832	3617
187	834	3603
188	836	3591
189	839	3580
190	844	3575
191	847	3565
192	850	3556
193	853	3547
194	857	3541
195	861	3533
196	865	3526
197	868	3517
198	871	3509
199	875	3503
200	878	3492
201	881	3480
202	883	3468
203	886	3458
204	889	3451
205	892	3441
206	895	3431
207	898	3422
208	901	3412
209	905	3406
210	908	3397
211	911	3388
212	914	3379
213	917	3370
214	920	3362
215	923	3353
216	926	3344
217	929	3335
218	933	3327
219	935	3318
220	940	3313
221	942	3303
222	945	3294
223	948	3284
224	950	3274
225	953	3265
226	956	3257
227	959	3247
228	961	3237
229	964	3228
230	967	3221
231	971	3216
232	974	3209
233	977	3200
234	980	3190
235	982	3181
236	986	3176
237	989	3167
238	991	3158
239	995	3151
240	998	3143
241	1001	3136
242	1004	3129
243	1007	3122
244	1010	3114
245	1013	3106
246	1016	3098
247	1019	3092
248	1022	3085
249	1026	3078
250	1029	3072
251	1032	3065
252	1036	3059
253	1039	3053
254	1042	3046
255	1045	3037
256	1047	3028
257	1051	3023
258	1055	3018
259	1058	3011
260	1060	3004
261	1064	2997
262	1067	2992
263	1070	2985
264	1073	2976
265	1075	2968
266	1078	2959
267	1081	2953
268	1084	2947
269	1087	2939
270	1089	2932
271	1092	2924
272	1095	2917
273	1099	2912
274	1102	2905
275	1105	2899
276	1108	2892
277	1111	2885
278	1114	2880
279	1117	2873
280	1120	2866
281	1122	2859
282	1125	2851
283	1128	2845
284	1132	2840
285	1134	2833
286	1137	2827
287	1141	2820
288	1143	2813
289	1146	2806
290	1149	2800
291	1152	2794
292	1154	2786
293	1158	2781
294	1161	2774
295	1164	2770
296	1168	2764
297	1170	2758
298	1173	2751
299	1175	2743
300	1179	2740
301	1182	2733
302	1185	2727
303	1188	2720
304	1191	2714
305	1193	2707
